year,month,day,time,temperature,precipitation,windspeed
2015,1,5,2015-01-05 12:51 AM,46.9,,10.4
2015,1,5,2015-01-05 1:51 AM,46.0,,
2015,1,5,2015-01-05 2:51 AM,44.1,,10.4
2015,1,5,2015-01-05 3:51 AM,43.0,,12.7
2015,1,5,2015-01-05 4:51 AM,42.1,,9.2
2015,1,5,2015-01-05 5:51 AM,41.0,,16.1
2015,1,5,2015-01-05 6:51 AM,41.0,,12.7
2015,1,5,2015-01-05 7:51 AM,39.0,,15.0
2015,1,5,2015-01-05 8:51 AM,39.0,,13.8
2015,1,5,2015-01-05 9:51 AM,37.9,,6.9
2015,1,5,2015-01-05 10:51 AM,36.0,,16.1
2015,1,5,2015-01-05 11:51 AM,36.0,,6.9
2015,1,5,2015-01-05 12:51 PM,36.0,,9.2
2015,1,5,2015-01-05 1:51 PM,36.0,,
2015,1,5,2015-01-05 2:51 PM,34.0,,6.9
2015,1,5,2015-01-05 3:51 PM,33.1,,15.0
2015,1,5,2015-01-05 4:51 PM,32.0,,10.4
2015,1,5,2015-01-05 5:51 PM,30.0,,13.8
2015,1,5,2015-01-05 6:51 PM,28.9,,9.2
2015,1,5,2015-01-05 7:51 PM,27.0,,11.5
2015,1,5,2015-01-05 8:51 PM,25.0,,3.5
2015,1,5,2015-01-05 9:51 PM,23.0,,5.8
2015,1,5,2015-01-05 10:51 PM,21.9,,8.1
2015,1,5,2015-01-05 11:51 PM,21.9,,6.9
