year,month,day,time,temperature,precipitation,windspeed
2010,12,5,2010-12-05 12:51 AM,33.1,,8.1
2010,12,5,2010-12-05 1:51 AM,33.1,,8.1
2010,12,5,2010-12-05 2:51 AM,32.0,,8.1
2010,12,5,2010-12-05 3:51 AM,32.0,,10.4
2010,12,5,2010-12-05 4:51 AM,30.9,,6.9
2010,12,5,2010-12-05 5:51 AM,30.9,,11.5
2010,12,5,2010-12-05 6:51 AM,30.9,,5.8
2010,12,5,2010-12-05 7:51 AM,30.0,,11.5
2010,12,5,2010-12-05 8:51 AM,30.0,,10.4
2010,12,5,2010-12-05 9:51 AM,30.9,,9.2
2010,12,5,2010-12-05 10:51 AM,32.0,,4.6
2010,12,5,2010-12-05 4:51 PM,34.0,,12.7
2010,12,5,2010-12-05 6:51 PM,33.8,,8.1
2010,12,5,2010-12-05 7:51 PM,34.0,,16.1
2010,12,5,2010-12-05 8:51 PM,33.1,,10.4
2010,12,5,2010-12-05 9:51 PM,34.0,,11.5
2010,12,5,2010-12-05 10:51 PM,33.1,,10.4
2010,12,5,2010-12-05 11:51 PM,32.0,,5.8
