year,month,day,time,temperature,precipitation,windspeed
2011,2,26,2011-02-26 12:51 AM,33.1,,
2011,2,26,2011-02-26 1:51 AM,33.1,,
2011,2,26,2011-02-26 2:51 AM,32.0,,
2011,2,26,2011-02-26 3:51 AM,32.0,,
2011,2,26,2011-02-26 4:51 AM,32.0,,
2011,2,26,2011-02-26 5:51 AM,30.9,,
2011,2,26,2011-02-26 6:51 AM,30.9,,
2011,2,26,2011-02-26 7:51 AM,30.9,,5.8
2011,2,26,2011-02-26 8:51 AM,30.9,,5.8
2011,2,26,2011-02-26 9:51 AM,33.1,,8.1
2011,2,26,2011-02-26 10:51 AM,35.1,,5.8
2011,2,26,2011-02-26 11:51 AM,37.9,,5.8
2011,2,26,2011-02-26 12:51 PM,39.9,,6.9
2011,2,26,2011-02-26 1:51 PM,41.0,,4.6
2011,2,26,2011-02-26 2:51 PM,41.0,,
2011,2,26,2011-02-26 3:51 PM,42.1,,
2011,2,26,2011-02-26 4:51 PM,42.1,,
2011,2,26,2011-02-26 5:51 PM,39.0,,9.2
2011,2,26,2011-02-26 6:51 PM,37.9,,8.1
2011,2,26,2011-02-26 7:51 PM,37.9,,9.2
2011,2,26,2011-02-26 8:51 PM,37.9,,8.1
2011,2,26,2011-02-26 9:51 PM,37.9,,5.8
2011,2,26,2011-02-26 10:51 PM,39.0,,8.1
2011,2,26,2011-02-26 11:51 PM,39.0,,6.9
