year,month,day,time,temperature,precipitation,windspeed
2011,12,30,2011-12-30 12:51 AM,39.0,,3.5
2011,12,30,2011-12-30 1:51 AM,39.9,,
2011,12,30,2011-12-30 2:51 AM,41.0,,
2011,12,30,2011-12-30 3:51 AM,41.0,,3.5
2011,12,30,2011-12-30 4:51 AM,41.0,,4.6
2011,12,30,2011-12-30 5:51 AM,39.9,,5.8
2011,12,30,2011-12-30 6:51 AM,39.9,,4.6
2011,12,30,2011-12-30 7:51 AM,39.0,,
2011,12,30,2011-12-30 8:51 AM,42.1,,
2011,12,30,2011-12-30 9:51 AM,44.1,,
2011,12,30,2011-12-30 10:51 AM,46.9,,3.5
2011,12,30,2011-12-30 11:51 AM,48.0,,
2011,12,30,2011-12-30 12:51 PM,50.0,,
2011,12,30,2011-12-30 1:51 PM,51.1,,
2011,12,30,2011-12-30 2:51 PM,50.0,,4.6
2011,12,30,2011-12-30 3:51 PM,51.1,,
2011,12,30,2011-12-30 4:51 PM,48.0,,5.8
2011,12,30,2011-12-30 5:51 PM,48.0,,8.1
2011,12,30,2011-12-30 6:51 PM,46.9,,
2011,12,30,2011-12-30 7:51 PM,48.0,,8.1
2011,12,30,2011-12-30 8:51 PM,46.9,,6.9
2011,12,30,2011-12-30 9:51 PM,48.0,,5.8
2011,12,30,2011-12-30 10:51 PM,48.9,,5.8
2011,12,30,2011-12-30 11:51 PM,48.9,,8.1
