year,month,day,time,temperature,precipitation,windspeed
2009,1,10,2009-01-10 12:51 AM,26.1,,8.1
2009,1,10,2009-01-10 1:51 AM,26.1,,5.8
2009,1,10,2009-01-10 2:51 AM,25.0,,5.8
2009,1,10,2009-01-10 3:51 AM,24.1,,4.6
2009,1,10,2009-01-10 4:51 AM,24.1,,4.6
2009,1,10,2009-01-10 5:51 AM,24.1,,5.8
2009,1,10,2009-01-10 6:51 AM,24.1,,6.9
2009,1,10,2009-01-10 7:51 AM,24.1,,
2009,1,10,2009-01-10 8:51 AM,26.1,,
2009,1,10,2009-01-10 9:51 AM,26.1,,4.6
2009,1,10,2009-01-10 10:51 AM,28.0,,
2009,1,10,2009-01-10 11:22 AM,28.4,,
2009,1,10,2009-01-10 11:33 AM,28.4,,4.6
2009,1,10,2009-01-10 11:51 AM,28.9,,4.6
2009,1,10,2009-01-10 12:19 PM,28.4,,
2009,1,10,2009-01-10 12:51 PM,27.0,0.00,3.5
2009,1,10,2009-01-10 12:59 PM,26.6,0.01,6.9
2009,1,10,2009-01-10 1:15 PM,26.6,0.01,8.1
2009,1,10,2009-01-10 1:22 PM,26.6,0.01,8.1
2009,1,10,2009-01-10 1:35 PM,26.6,0.02,8.1
2009,1,10,2009-01-10 1:51 PM,26.1,0.02,5.8
2009,1,10,2009-01-10 1:55 PM,26.6,0.00,5.8
2009,1,10,2009-01-10 2:34 PM,26.6,0.01,10.4
2009,1,10,2009-01-10 2:48 PM,26.6,0.01,9.2
2009,1,10,2009-01-10 2:51 PM,26.1,0.01,10.4
2009,1,10,2009-01-10 3:25 PM,26.6,0.00,9.2
2009,1,10,2009-01-10 3:51 PM,26.1,0.00,10.4
2009,1,10,2009-01-10 3:59 PM,24.8,,11.5
2009,1,10,2009-01-10 4:08 PM,24.8,0.00,10.4
2009,1,10,2009-01-10 4:14 PM,24.8,0.00,12.7
2009,1,10,2009-01-10 4:20 PM,26.6,0.00,10.4
2009,1,10,2009-01-10 4:51 PM,25.0,0.03,4.6
2009,1,10,2009-01-10 5:01 PM,24.8,0.01,5.8
2009,1,10,2009-01-10 5:19 PM,24.8,0.03,5.8
2009,1,10,2009-01-10 5:26 PM,24.8,0.04,10.4
2009,1,10,2009-01-10 5:38 PM,24.8,0.05,5.8
2009,1,10,2009-01-10 5:49 PM,24.8,0.05,12.7
2009,1,10,2009-01-10 5:51 PM,25.0,0.05,9.2
2009,1,10,2009-01-10 6:01 PM,24.8,0.00,11.5
2009,1,10,2009-01-10 6:51 PM,26.1,0.01,9.2
2009,1,10,2009-01-10 7:16 PM,26.6,0.00,9.2
2009,1,10,2009-01-10 7:40 PM,26.6,0.01,15.0
2009,1,10,2009-01-10 7:51 PM,26.1,0.01,12.7
2009,1,10,2009-01-10 8:29 PM,26.6,0.00,10.4
2009,1,10,2009-01-10 8:42 PM,26.6,0.00,10.4
2009,1,10,2009-01-10 8:51 PM,27.0,0.00,11.5
2009,1,10,2009-01-10 9:37 PM,28.4,0.01,13.8
2009,1,10,2009-01-10 9:51 PM,28.0,0.01,12.7
2009,1,10,2009-01-10 10:12 PM,28.4,0.00,10.4
2009,1,10,2009-01-10 10:20 PM,28.4,0.00,11.5
2009,1,10,2009-01-10 10:51 PM,28.9,0.00,10.4
2009,1,10,2009-01-10 11:51 PM,30.0,,11.5
