year,month,day,time,temperature,precipitation,windspeed
2010,6,5,2010-06-05 12:51 AM,78.1,,5.8
2010,6,5,2010-06-05 1:51 AM,79.0,,6.9
2010,6,5,2010-06-05 2:51 AM,78.1,,4.6
2010,6,5,2010-06-05 3:51 AM,77.0,,8.1
2010,6,5,2010-06-05 4:51 AM,75.9,,11.5
2010,6,5,2010-06-05 5:51 AM,75.9,,8.1
2010,6,5,2010-06-05 6:51 AM,77.0,,8.1
2010,6,5,2010-06-05 7:51 AM,77.0,,3.5
2010,6,5,2010-06-05 8:51 AM,79.0,,6.9
2010,6,5,2010-06-05 9:51 AM,80.1,,8.1
2010,6,5,2010-06-05 10:51 AM,82.9,,6.9
2010,6,5,2010-06-05 11:51 AM,86.0,,8.1
2010,6,5,2010-06-05 12:51 PM,84.9,,8.1
2010,6,5,2010-06-05 1:51 PM,86.0,,10.4
2010,6,5,2010-06-05 2:51 PM,87.1,,10.4
2010,6,5,2010-06-05 3:51 PM,84.9,,5.8
2010,6,5,2010-06-05 4:51 PM,84.0,,10.4
2010,6,5,2010-06-05 5:51 PM,84.9,,11.5
2010,6,5,2010-06-05 6:51 PM,84.0,,4.6
2010,6,5,2010-06-05 7:51 PM,82.9,,8.1
2010,6,5,2010-06-05 8:51 PM,82.0,,6.9
2010,6,5,2010-06-05 9:51 PM,82.0,,5.8
2010,6,5,2010-06-05 10:51 PM,81.0,,5.8
2010,6,5,2010-06-05 11:51 PM,80.1,,5.8
