year,month,day,time,temperature,precipitation,windspeed
2011,1,23,2011-01-23 12:51 AM,18.0,,5.8
2011,1,23,2011-01-23 1:51 AM,18.0,,
2011,1,23,2011-01-23 2:51 AM,17.1,,9.2
2011,1,23,2011-01-23 3:51 AM,17.1,,6.9
2011,1,23,2011-01-23 4:51 AM,17.1,,8.1
2011,1,23,2011-01-23 5:51 AM,16.0,,9.2
2011,1,23,2011-01-23 6:51 AM,16.0,,5.8
2011,1,23,2011-01-23 7:51 AM,16.0,,8.1
2011,1,23,2011-01-23 8:51 AM,17.1,,11.5
2011,1,23,2011-01-23 9:51 AM,19.0,,10.4
2011,1,23,2011-01-23 10:51 AM,19.9,,12.7
2011,1,23,2011-01-23 11:51 AM,21.9,,12.7
2011,1,23,2011-01-23 12:51 PM,24.1,,10.4
2011,1,23,2011-01-23 1:51 PM,23.0,,12.7
2011,1,23,2011-01-23 2:51 PM,24.1,,6.9
2011,1,23,2011-01-23 3:51 PM,23.0,,12.7
2011,1,23,2011-01-23 4:51 PM,21.0,,13.8
2011,1,23,2011-01-23 5:51 PM,19.9,,11.5
2011,1,23,2011-01-23 6:51 PM,19.0,,11.5
2011,1,23,2011-01-23 7:51 PM,18.0,,9.2
2011,1,23,2011-01-23 8:51 PM,17.1,,9.2
2011,1,23,2011-01-23 9:51 PM,15.1,,8.1
2011,1,23,2011-01-23 10:51 PM,12.9,,10.4
2011,1,23,2011-01-23 11:51 PM,10.9,,11.5
