year,month,day,time,temperature,precipitation,windspeed
2011,10,12,2011-10-12 12:51 AM,62.1,,
2011,10,12,2011-10-12 1:51 AM,62.1,,
2011,10,12,2011-10-12 2:51 AM,62.1,,
2011,10,12,2011-10-12 3:51 AM,61.0,,
2011,10,12,2011-10-12 4:51 AM,61.0,,
2011,10,12,2011-10-12 5:00 AM,,,
2011,10,12,2011-10-12 5:51 AM,61.0,,
2011,10,12,2011-10-12 6:51 AM,60.1,,
2011,10,12,2011-10-12 7:51 AM,61.0,,
2011,10,12,2011-10-12 8:51 AM,61.0,,
2011,10,12,2011-10-12 9:51 AM,60.1,,
2011,10,12,2011-10-12 10:31 AM,60.8,,
2011,10,12,2011-10-12 10:51 AM,60.1,,21.9
2011,10,12,2011-10-12 11:51 AM,60.1,,18.4
2011,10,12,2011-10-12 12:51 PM,61.0,,17.3
2011,10,12,2011-10-12 1:35 PM,60.8,,23.0
2011,10,12,2011-10-12 1:51 PM,60.1,,25.3
2011,10,12,2011-10-12 2:16 PM,60.8,,23.0
2011,10,12,2011-10-12 2:46 PM,60.8,,25.3
2011,10,12,2011-10-12 2:51 PM,61.0,,25.3
2011,10,12,2011-10-12 3:28 PM,60.8,,25.3
2011,10,12,2011-10-12 3:51 PM,60.1,,27.6
2011,10,12,2011-10-12 4:51 PM,60.1,,27.6
2011,10,12,2011-10-12 5:51 PM,60.1,,21.9
2011,10,12,2011-10-12 6:51 PM,60.1,,16.1
2011,10,12,2011-10-12 7:51 PM,59.0,,18.4
2011,10,12,2011-10-12 8:01 PM,59.0,,19.6
2011,10,12,2011-10-12 8:51 PM,59.0,,21.9
2011,10,12,2011-10-12 9:51 PM,60.1,,17.3
2011,10,12,2011-10-12 10:51 PM,59.0,,20.7
2011,10,12,2011-10-12 11:51 PM,60.1,,20.7
2011,10,12,2011-10-12 11:59 PM,59.0,,28.8
