year,month,day,time,temperature,precipitation,windspeed
2011,9,13,2011-09-13 12:51 AM,72.0,,5.8
2011,9,13,2011-09-13 1:51 AM,71.1,,4.6
2011,9,13,2011-09-13 2:51 AM,71.1,,4.6
2011,9,13,2011-09-13 3:51 AM,69.1,,4.6
2011,9,13,2011-09-13 4:51 AM,69.1,,3.5
2011,9,13,2011-09-13 5:51 AM,68.0,,
2011,9,13,2011-09-13 6:51 AM,68.0,,3.5
2011,9,13,2011-09-13 7:51 AM,70.0,,3.5
2011,9,13,2011-09-13 8:51 AM,72.0,,
2011,9,13,2011-09-13 9:51 AM,73.0,,
2011,9,13,2011-09-13 10:51 AM,77.0,,
2011,9,13,2011-09-13 11:51 AM,79.0,,3.5
2011,9,13,2011-09-13 12:51 PM,81.0,,5.8
2011,9,13,2011-09-13 1:51 PM,82.0,,6.9
2011,9,13,2011-09-13 2:51 PM,80.1,,9.2
2011,9,13,2011-09-13 3:51 PM,82.0,,5.8
2011,9,13,2011-09-13 4:51 PM,81.0,,5.8
2011,9,13,2011-09-13 5:51 PM,79.0,,6.9
2011,9,13,2011-09-13 6:51 PM,79.0,,9.2
2011,9,13,2011-09-13 7:51 PM,78.1,,6.9
2011,9,13,2011-09-13 8:51 PM,75.9,,6.9
2011,9,13,2011-09-13 9:51 PM,75.9,,4.6
2011,9,13,2011-09-13 10:51 PM,75.0,,6.9
2011,9,13,2011-09-13 11:51 PM,73.0,,5.8
