year,month,day,time,temperature,precipitation,windspeed
2010,4,8,2010-04-08 12:51 AM,77.0,,
2010,4,8,2010-04-08 1:51 AM,75.9,,
2010,4,8,2010-04-08 2:51 AM,73.9,,
2010,4,8,2010-04-08 3:51 AM,73.9,,
2010,4,8,2010-04-08 4:51 AM,70.0,,
2010,4,8,2010-04-08 5:51 AM,66.9,,
2010,4,8,2010-04-08 6:51 AM,64.0,,
2010,4,8,2010-04-08 7:51 AM,66.9,,
2010,4,8,2010-04-08 8:51 AM,69.1,,
2010,4,8,2010-04-08 9:51 AM,72.0,,
2010,4,8,2010-04-08 10:51 AM,73.9,,
2010,4,8,2010-04-08 11:51 AM,77.0,,
2010,4,8,2010-04-08 12:51 PM,78.1,,
2010,4,8,2010-04-08 1:51 PM,75.9,,
2010,4,8,2010-04-08 2:51 PM,78.1,,
2010,4,8,2010-04-08 3:51 PM,75.0,,
2010,4,8,2010-04-08 4:51 PM,73.9,,16.1
2010,4,8,2010-04-08 5:51 PM,73.0,,19.6
2010,4,8,2010-04-08 6:51 PM,71.1,,19.6
2010,4,8,2010-04-08 7:51 PM,70.0,,20.7
2010,4,8,2010-04-08 8:51 PM,69.1,,
2010,4,8,2010-04-08 9:51 PM,66.0,,
2010,4,8,2010-04-08 10:51 PM,64.0,,
2010,4,8,2010-04-08 11:51 PM,64.9,,
