year,month,day,time,temperature,precipitation,windspeed
2011,3,4,2011-03-04 12:51 AM,28.9,,5.8
2011,3,4,2011-03-04 1:51 AM,28.9,,3.5
2011,3,4,2011-03-04 2:51 AM,28.9,,3.5
2011,3,4,2011-03-04 3:51 AM,28.0,,8.1
2011,3,4,2011-03-04 4:51 AM,28.0,,6.9
2011,3,4,2011-03-04 5:51 AM,27.0,,6.9
2011,3,4,2011-03-04 6:51 AM,28.0,,6.9
2011,3,4,2011-03-04 7:51 AM,30.0,,6.9
2011,3,4,2011-03-04 8:51 AM,33.1,,5.8
2011,3,4,2011-03-04 9:51 AM,35.1,,8.1
2011,3,4,2011-03-04 10:51 AM,37.0,,8.1
2011,3,4,2011-03-04 11:51 AM,37.0,,12.7
2011,3,4,2011-03-04 12:51 PM,39.9,,11.5
2011,3,4,2011-03-04 1:51 PM,39.0,,8.1
2011,3,4,2011-03-04 2:51 PM,37.9,,11.5
2011,3,4,2011-03-04 3:51 PM,39.9,,10.4
2011,3,4,2011-03-04 4:32 PM,39.2,,8.1
2011,3,4,2011-03-04 4:51 PM,37.9,,10.4
2011,3,4,2011-03-04 5:51 PM,37.9,,3.5
2011,3,4,2011-03-04 6:51 PM,37.9,,11.5
2011,3,4,2011-03-04 7:51 PM,37.9,,11.5
2011,3,4,2011-03-04 8:51 PM,39.0,,8.1
2011,3,4,2011-03-04 9:51 PM,39.0,,4.6
2011,3,4,2011-03-04 10:51 PM,39.9,,6.9
2011,3,4,2011-03-04 11:51 PM,41.0,,6.9
