year,month,day,time,temperature,precipitation,windspeed
2011,8,9,2011-08-09 12:51 AM,73.9,,
2011,8,9,2011-08-09 1:51 AM,73.9,,
2011,8,9,2011-08-09 2:51 AM,75.0,,
2011,8,9,2011-08-09 3:51 AM,73.9,,
2011,8,9,2011-08-09 4:51 AM,73.0,,
2011,8,9,2011-08-09 5:51 AM,72.0,,3.5
2011,8,9,2011-08-09 6:51 AM,73.0,,8.1
2011,8,9,2011-08-09 7:51 AM,75.0,,6.9
2011,8,9,2011-08-09 8:51 AM,75.9,,4.6
2011,8,9,2011-08-09 9:51 AM,78.1,,5.8
2011,8,9,2011-08-09 10:51 AM,81.0,,5.8
2011,8,9,2011-08-09 10:59 AM,80.6,,5.8
2011,8,9,2011-08-09 11:10 AM,82.4,,9.2
2011,8,9,2011-08-09 11:51 AM,82.9,,3.5
2011,8,9,2011-08-09 12:51 PM,80.1,,6.9
2011,8,9,2011-08-09 1:28 PM,80.6,,5.8
2011,8,9,2011-08-09 1:51 PM,80.1,0.00,10.4
2011,8,9,2011-08-09 2:33 PM,75.2,0.03,4.6
2011,8,9,2011-08-09 2:51 PM,75.0,0.06,9.2
2011,8,9,2011-08-09 3:27 PM,73.4,0.14,6.9
2011,8,9,2011-08-09 3:51 PM,73.0,0.27,5.8
2011,8,9,2011-08-09 4:19 PM,73.4,0.30,4.6
2011,8,9,2011-08-09 4:51 PM,73.0,0.86,4.6
2011,8,9,2011-08-09 5:14 PM,71.6,0.81,3.5
2011,8,9,2011-08-09 5:27 PM,73.4,0.90,4.6
2011,8,9,2011-08-09 5:32 PM,73.4,0.90,4.6
2011,8,9,2011-08-09 5:51 PM,73.9,0.90,
2011,8,9,2011-08-09 6:51 PM,73.9,,4.6
2011,8,9,2011-08-09 7:27 PM,73.4,,8.1
2011,8,9,2011-08-09 7:51 PM,73.0,,
2011,8,9,2011-08-09 8:00 PM,71.6,,4.6
2011,8,9,2011-08-09 8:14 PM,71.6,,3.5
2011,8,9,2011-08-09 8:51 PM,73.0,,3.5
2011,8,9,2011-08-09 9:38 PM,73.4,,
2011,8,9,2011-08-09 9:51 PM,73.0,,
2011,8,9,2011-08-09 10:18 PM,73.4,,
2011,8,9,2011-08-09 10:51 PM,73.9,,
2011,8,9,2011-08-09 11:51 PM,73.9,,5.8
