year,month,day,time,temperature,precipitation,windspeed
2012,1,26,2012-01-26 12:51 AM,36.0,,
2012,1,26,2012-01-26 1:51 AM,37.0,,
2012,1,26,2012-01-26 2:51 AM,35.1,0.00,
2012,1,26,2012-01-26 3:51 AM,33.1,0.02,4.6
2012,1,26,2012-01-26 4:12 AM,33.8,0.00,6.9
2012,1,26,2012-01-26 4:51 AM,33.1,0.00,
2012,1,26,2012-01-26 5:51 AM,34.0,0.00,4.6
2012,1,26,2012-01-26 6:51 AM,35.1,,
2012,1,26,2012-01-26 7:51 AM,36.0,,
2012,1,26,2012-01-26 8:51 AM,37.9,,
2012,1,26,2012-01-26 9:51 AM,39.0,,
2012,1,26,2012-01-26 10:51 AM,39.0,,5.8
2012,1,26,2012-01-26 11:51 AM,39.0,,4.6
2012,1,26,2012-01-26 12:51 PM,37.9,0.00,6.9
2012,1,26,2012-01-26 1:51 PM,37.0,0.00,6.9
2012,1,26,2012-01-26 2:51 PM,37.0,0.01,8.1
2012,1,26,2012-01-26 3:51 PM,36.0,0.00,6.9
2012,1,26,2012-01-26 4:30 PM,35.6,0.01,6.9
2012,1,26,2012-01-26 4:51 PM,37.0,0.01,4.6
2012,1,26,2012-01-26 5:51 PM,37.0,0.01,5.8
2012,1,26,2012-01-26 6:51 PM,37.0,0.00,8.1
2012,1,26,2012-01-26 7:14 PM,37.4,0.01,5.8
2012,1,26,2012-01-26 7:51 PM,37.0,0.03,5.8
2012,1,26,2012-01-26 8:51 PM,37.9,0.03,3.5
2012,1,26,2012-01-26 9:10 PM,37.4,0.00,3.5
2012,1,26,2012-01-26 9:22 PM,37.4,0.00,8.1
2012,1,26,2012-01-26 9:51 PM,37.9,0.01,5.8
2012,1,26,2012-01-26 10:51 PM,39.0,0.04,5.8
2012,1,26,2012-01-26 11:13 PM,39.2,0.02,8.1
2012,1,26,2012-01-26 11:24 PM,39.2,0.02,6.9
2012,1,26,2012-01-26 11:51 PM,39.9,0.02,
