year,month,day,time,temperature,precipitation,windspeed
2015,6,8,2015-06-08 12:51 AM,64.0,,
2015,6,8,2015-06-08 1:51 AM,64.0,,
2015,6,8,2015-06-08 2:51 AM,63.0,,
2015,6,8,2015-06-08 3:51 AM,63.0,,
2015,6,8,2015-06-08 4:51 AM,64.0,,
2015,6,8,2015-06-08 5:51 AM,64.0,,
2015,6,8,2015-06-08 6:51 AM,64.0,,
2015,6,8,2015-06-08 7:51 AM,66.0,,
2015,6,8,2015-06-08 8:51 AM,66.0,,
2015,6,8,2015-06-08 9:51 AM,66.9,,
2015,6,8,2015-06-08 10:51 AM,69.1,,
2015,6,8,2015-06-08 11:51 AM,71.1,,
2015,6,8,2015-06-08 12:51 PM,75.0,,17.3
2015,6,8,2015-06-08 1:51 PM,79.0,,
2015,6,8,2015-06-08 2:51 PM,78.1,,17.3
2015,6,8,2015-06-08 3:51 PM,77.0,,
2015,6,8,2015-06-08 4:51 PM,75.9,,
2015,6,8,2015-06-08 5:51 PM,75.0,,
2015,6,8,2015-06-08 6:51 PM,73.9,,
2015,6,8,2015-06-08 7:51 PM,72.0,,
2015,6,8,2015-06-08 8:51 PM,72.0,,
2015,6,8,2015-06-08 9:51 PM,72.0,,21.9
2015,6,8,2015-06-08 10:51 PM,70.0,,
2015,6,8,2015-06-08 11:51 PM,69.1,,18.4
