year,month,day,time,temperature,precipitation,windspeed
2009,2,2,2009-02-02 12:51 AM,48.0,,4.6
2009,2,2,2009-02-02 1:51 AM,46.0,,6.9
2009,2,2,2009-02-02 2:51 AM,44.1,,3.5
2009,2,2,2009-02-02 3:51 AM,42.1,,5.8
2009,2,2,2009-02-02 4:51 AM,39.9,,4.6
2009,2,2,2009-02-02 5:51 AM,41.0,,
2009,2,2,2009-02-02 6:51 AM,39.9,,3.5
2009,2,2,2009-02-02 7:51 AM,41.0,,
2009,2,2,2009-02-02 8:51 AM,43.0,,
2009,2,2,2009-02-02 9:51 AM,45.0,,
2009,2,2,2009-02-02 10:51 AM,48.9,,5.8
2009,2,2,2009-02-02 11:51 AM,48.9,,
2009,2,2,2009-02-02 12:51 PM,52.0,,4.6
2009,2,2,2009-02-02 1:51 PM,52.0,,
2009,2,2,2009-02-02 2:51 PM,52.0,,3.5
2009,2,2,2009-02-02 3:51 PM,51.1,,3.5
2009,2,2,2009-02-02 4:51 PM,46.9,,5.8
2009,2,2,2009-02-02 5:51 PM,45.0,,8.1
2009,2,2,2009-02-02 6:51 PM,42.1,,8.1
2009,2,2,2009-02-02 7:51 PM,39.9,,9.2
2009,2,2,2009-02-02 8:51 PM,39.0,,8.1
2009,2,2,2009-02-02 9:51 PM,37.0,,12.7
2009,2,2,2009-02-02 10:51 PM,36.0,,11.5
2009,2,2,2009-02-02 11:51 PM,35.1,,12.7
