year,month,day,time,temperature,precipitation,windspeed
2010,11,13,2010-11-13 12:51 AM,52.0,,4.6
2010,11,13,2010-11-13 1:51 AM,51.1,,4.6
2010,11,13,2010-11-13 2:51 AM,50.0,,4.6
2010,11,13,2010-11-13 3:51 AM,48.9,,3.5
2010,11,13,2010-11-13 4:51 AM,48.0,,4.6
2010,11,13,2010-11-13 5:51 AM,46.0,,4.6
2010,11,13,2010-11-13 6:51 AM,46.9,,3.5
2010,11,13,2010-11-13 7:51 AM,50.0,,3.5
2010,11,13,2010-11-13 8:51 AM,53.1,,3.5
2010,11,13,2010-11-13 9:51 AM,55.9,,5.8
2010,11,13,2010-11-13 10:51 AM,57.9,,6.9
2010,11,13,2010-11-13 11:51 AM,60.1,,5.8
2010,11,13,2010-11-13 12:51 PM,62.1,,5.8
2010,11,13,2010-11-13 1:51 PM,62.1,,6.9
2010,11,13,2010-11-13 2:51 PM,63.0,,4.6
2010,11,13,2010-11-13 3:51 PM,62.1,,
2010,11,13,2010-11-13 4:51 PM,59.0,,
2010,11,13,2010-11-13 5:51 PM,59.0,,
2010,11,13,2010-11-13 6:51 PM,55.9,,
2010,11,13,2010-11-13 7:51 PM,55.9,,3.5
2010,11,13,2010-11-13 8:51 PM,55.0,,
2010,11,13,2010-11-13 9:51 PM,55.0,,
2010,11,13,2010-11-13 10:51 PM,53.1,,
2010,11,13,2010-11-13 11:51 PM,52.0,,
