year,month,day,time,temperature,precipitation,windspeed
2011,12,16,2011-12-16 12:51 AM,57.9,,6.9
2011,12,16,2011-12-16 1:51 AM,57.0,,9.2
2011,12,16,2011-12-16 2:51 AM,57.9,,6.9
2011,12,16,2011-12-16 3:51 AM,57.0,,15.0
2011,12,16,2011-12-16 4:51 AM,54.0,,13.8
2011,12,16,2011-12-16 5:51 AM,50.0,,9.2
2011,12,16,2011-12-16 6:51 AM,50.0,,16.1
2011,12,16,2011-12-16 7:51 AM,46.9,,15.0
2011,12,16,2011-12-16 8:51 AM,44.1,,12.7
2011,12,16,2011-12-16 9:51 AM,43.0,,6.9
2011,12,16,2011-12-16 10:51 AM,44.1,,10.4
2011,12,16,2011-12-16 11:51 AM,46.0,,12.7
2011,12,16,2011-12-16 12:51 PM,46.0,,11.5
2011,12,16,2011-12-16 1:51 PM,46.0,,8.1
2011,12,16,2011-12-16 2:51 PM,46.0,,8.1
2011,12,16,2011-12-16 3:51 PM,46.0,,5.8
2011,12,16,2011-12-16 4:51 PM,45.0,,
2011,12,16,2011-12-16 5:51 PM,44.1,,5.8
2011,12,16,2011-12-16 6:51 PM,43.0,,
2011,12,16,2011-12-16 7:51 PM,43.0,,
2011,12,16,2011-12-16 8:51 PM,42.1,,3.5
2011,12,16,2011-12-16 9:51 PM,43.0,,3.5
2011,12,16,2011-12-16 10:51 PM,42.1,,4.6
2011,12,16,2011-12-16 11:51 PM,41.0,,5.8
