year,month,day,time,temperature,precipitation,windspeed
2010,1,22,2010-01-22 12:51 AM,37.0,,6.9
2010,1,22,2010-01-22 1:51 AM,36.0,,3.5
2010,1,22,2010-01-22 2:51 AM,36.0,,6.9
2010,1,22,2010-01-22 3:51 AM,35.1,,9.2
2010,1,22,2010-01-22 4:51 AM,35.1,,5.8
2010,1,22,2010-01-22 5:51 AM,34.0,,11.5
2010,1,22,2010-01-22 6:51 AM,34.0,,8.1
2010,1,22,2010-01-22 7:51 AM,34.0,,9.2
2010,1,22,2010-01-22 8:51 AM,34.0,,6.9
2010,1,22,2010-01-22 9:51 AM,37.0,,5.8
2010,1,22,2010-01-22 10:51 AM,39.0,,5.8
2010,1,22,2010-01-22 11:51 AM,39.9,,6.9
2010,1,22,2010-01-22 12:51 PM,42.1,,6.9
2010,1,22,2010-01-22 1:51 PM,44.1,,6.9
2010,1,22,2010-01-22 2:51 PM,43.0,,4.6
2010,1,22,2010-01-22 3:51 PM,42.1,,3.5
2010,1,22,2010-01-22 4:51 PM,41.0,,4.6
2010,1,22,2010-01-22 5:51 PM,39.9,,5.8
2010,1,22,2010-01-22 6:51 PM,39.0,,5.8
2010,1,22,2010-01-22 7:51 PM,37.0,,6.9
2010,1,22,2010-01-22 8:51 PM,37.0,,5.8
2010,1,22,2010-01-22 9:51 PM,35.1,,6.9
2010,1,22,2010-01-22 10:51 PM,34.0,,4.6
2010,1,22,2010-01-22 11:51 PM,33.1,,5.8
