year,month,day,time,temperature,precipitation,windspeed
2009,7,27,2009-07-27 12:51 AM,69.1,,
2009,7,27,2009-07-27 1:51 AM,69.1,,3.5
2009,7,27,2009-07-27 2:51 AM,69.1,,
2009,7,27,2009-07-27 3:04 AM,69.8,,
2009,7,27,2009-07-27 3:51 AM,70.0,,
2009,7,27,2009-07-27 4:51 AM,69.1,,
2009,7,27,2009-07-27 5:51 AM,70.0,,
2009,7,27,2009-07-27 6:51 AM,69.1,,5.8
2009,7,27,2009-07-27 7:51 AM,71.1,,5.8
2009,7,27,2009-07-27 8:51 AM,73.0,,4.6
2009,7,27,2009-07-27 9:51 AM,73.9,,5.8
2009,7,27,2009-07-27 10:51 AM,75.9,,4.6
2009,7,27,2009-07-27 11:51 AM,80.1,,6.9
2009,7,27,2009-07-27 12:51 PM,80.1,,5.8
2009,7,27,2009-07-27 1:51 PM,81.0,,5.8
2009,7,27,2009-07-27 2:51 PM,81.0,,6.9
2009,7,27,2009-07-27 3:24 PM,73.4,0.01,10.4
2009,7,27,2009-07-27 3:30 PM,73.4,0.15,5.8
2009,7,27,2009-07-27 3:39 PM,73.4,0.19,4.6
2009,7,27,2009-07-27 3:51 PM,73.9,0.20,6.9
2009,7,27,2009-07-27 4:00 PM,75.2,0.00,4.6
2009,7,27,2009-07-27 4:51 PM,78.1,0.00,3.5
2009,7,27,2009-07-27 5:23 PM,73.4,0.00,5.8
2009,7,27,2009-07-27 5:30 PM,71.6,0.13,10.4
2009,7,27,2009-07-27 5:38 PM,71.6,0.37,3.5
2009,7,27,2009-07-27 5:46 PM,71.6,0.40,3.5
2009,7,27,2009-07-27 5:51 PM,72.0,0.40,
2009,7,27,2009-07-27 6:15 PM,73.4,,4.6
2009,7,27,2009-07-27 6:51 PM,73.9,,3.5
2009,7,27,2009-07-27 7:51 PM,73.9,,
2009,7,27,2009-07-27 8:09 PM,73.4,,3.5
2009,7,27,2009-07-27 8:22 PM,73.4,,
2009,7,27,2009-07-27 8:31 PM,73.4,,
2009,7,27,2009-07-27 8:51 PM,73.9,,3.5
2009,7,27,2009-07-27 9:51 PM,73.9,,4.6
2009,7,27,2009-07-27 10:51 PM,75.0,,3.5
2009,7,27,2009-07-27 11:51 PM,73.9,,6.9
