year,month,day,time,temperature,precipitation,windspeed
2009,9,26,2009-09-26 12:51 AM,57.0,,
2009,9,26,2009-09-26 1:51 AM,57.0,,
2009,9,26,2009-09-26 2:51 AM,54.0,,
2009,9,26,2009-09-26 3:51 AM,57.0,,
2009,9,26,2009-09-26 4:51 AM,55.9,,
2009,9,26,2009-09-26 5:51 AM,55.9,,
2009,9,26,2009-09-26 6:51 AM,55.0,,
2009,9,26,2009-09-26 7:51 AM,55.9,,
2009,9,26,2009-09-26 8:51 AM,57.9,,
2009,9,26,2009-09-26 9:51 AM,60.1,,
2009,9,26,2009-09-26 10:51 AM,61.0,,
2009,9,26,2009-09-26 11:51 AM,62.1,,
2009,9,26,2009-09-26 12:51 PM,63.0,,
2009,9,26,2009-09-26 1:51 PM,66.0,,16.1
2009,9,26,2009-09-26 2:51 PM,63.0,,
2009,9,26,2009-09-26 3:51 PM,62.1,,
2009,9,26,2009-09-26 4:51 PM,62.1,,
2009,9,26,2009-09-26 5:51 PM,61.0,,
2009,9,26,2009-09-26 6:51 PM,59.0,,
2009,9,26,2009-09-26 7:51 PM,60.1,,
2009,9,26,2009-09-26 8:51 PM,60.1,,
2009,9,26,2009-09-26 9:51 PM,60.1,,
2009,9,26,2009-09-26 10:08 PM,59.0,,
2009,9,26,2009-09-26 10:23 PM,57.2,,
2009,9,26,2009-09-26 10:51 PM,57.9,,
2009,9,26,2009-09-26 11:29 PM,57.2,,
2009,9,26,2009-09-26 11:43 PM,57.2,,
2009,9,26,2009-09-26 11:51 PM,57.9,,
