year,month,day,time,temperature,precipitation,windspeed
2015,4,27,2015-04-27 12:51 AM,50.0,,
2015,4,27,2015-04-27 1:51 AM,51.1,,
2015,4,27,2015-04-27 2:51 AM,50.0,,
2015,4,27,2015-04-27 3:51 AM,48.9,,
2015,4,27,2015-04-27 4:51 AM,48.9,,
2015,4,27,2015-04-27 5:51 AM,48.9,,
2015,4,27,2015-04-27 6:51 AM,48.9,,
2015,4,27,2015-04-27 7:51 AM,50.0,,
2015,4,27,2015-04-27 8:51 AM,51.1,,
2015,4,27,2015-04-27 9:51 AM,53.1,,
2015,4,27,2015-04-27 10:51 AM,57.0,,
2015,4,27,2015-04-27 11:51 AM,59.0,,
2015,4,27,2015-04-27 12:51 PM,57.9,,
2015,4,27,2015-04-27 1:51 PM,59.0,,
2015,4,27,2015-04-27 2:51 PM,59.0,,
2015,4,27,2015-04-27 3:51 PM,61.0,,
2015,4,27,2015-04-27 4:51 PM,60.1,,
2015,4,27,2015-04-27 5:51 PM,60.1,,
2015,4,27,2015-04-27 6:51 PM,59.0,,18.4
2015,4,27,2015-04-27 7:51 PM,57.9,,23.0
2015,4,27,2015-04-27 8:51 PM,57.0,,
2015,4,27,2015-04-27 9:51 PM,55.0,,17.3
2015,4,27,2015-04-27 10:51 PM,54.0,,
2015,4,27,2015-04-27 11:51 PM,53.1,,
