year,month,day,time,temperature,precipitation,windspeed
2011,4,5,2011-04-05 12:51 AM,59.0,,6.9
2011,4,5,2011-04-05 1:51 AM,60.1,,
2011,4,5,2011-04-05 2:51 AM,62.1,,8.1
2011,4,5,2011-04-05 3:51 AM,59.0,,9.2
2011,4,5,2011-04-05 4:51 AM,63.0,,10.4
2011,4,5,2011-04-05 5:51 AM,61.0,,6.9
2011,4,5,2011-04-05 6:44 AM,57.2,,10.4
2011,4,5,2011-04-05 6:51 AM,57.9,,9.2
2011,4,5,2011-04-05 7:51 AM,59.0,0.01,13.8
2011,4,5,2011-04-05 8:02 AM,59.0,0.00,11.5
2011,4,5,2011-04-05 8:51 AM,60.1,0.00,9.2
2011,4,5,2011-04-05 9:38 AM,62.6,,8.1
2011,4,5,2011-04-05 9:51 AM,62.1,,6.9
2011,4,5,2011-04-05 10:51 AM,66.0,,10.4
2011,4,5,2011-04-05 11:29 AM,48.2,0.01,18.4
2011,4,5,2011-04-05 11:49 AM,46.4,0.10,11.5
2011,4,5,2011-04-05 11:51 AM,46.9,0.10,15.0
2011,4,5,2011-04-05 12:40 PM,46.4,0.02,13.8
2011,4,5,2011-04-05 12:48 PM,46.4,0.02,10.4
2011,4,5,2011-04-05 12:51 PM,46.9,0.02,13.8
2011,4,5,2011-04-05 1:51 PM,45.0,0.00,9.2
2011,4,5,2011-04-05 2:51 PM,44.1,0.03,9.2
2011,4,5,2011-04-05 3:22 PM,42.8,0.00,13.8
2011,4,5,2011-04-05 3:40 PM,44.6,0.00,8.1
2011,4,5,2011-04-05 3:51 PM,44.1,0.00,10.4
2011,4,5,2011-04-05 4:51 PM,45.0,,11.5
2011,4,5,2011-04-05 5:51 PM,46.0,,12.7
2011,4,5,2011-04-05 6:51 PM,45.0,,6.9
2011,4,5,2011-04-05 7:51 PM,45.0,,11.5
2011,4,5,2011-04-05 8:51 PM,45.0,,10.4
2011,4,5,2011-04-05 9:51 PM,44.1,,15.0
2011,4,5,2011-04-05 10:51 PM,43.0,,10.4
2011,4,5,2011-04-05 11:51 PM,42.1,,12.7
