year,month,day,time,temperature,precipitation,windspeed
2009,9,22,2009-09-22 12:51 AM,64.9,,
2009,9,22,2009-09-22 1:51 AM,66.9,,
2009,9,22,2009-09-22 2:51 AM,66.0,,
2009,9,22,2009-09-22 3:51 AM,64.9,,
2009,9,22,2009-09-22 4:51 AM,64.9,,
2009,9,22,2009-09-22 5:51 AM,64.9,,
2009,9,22,2009-09-22 6:51 AM,64.9,,
2009,9,22,2009-09-22 7:51 AM,66.9,,
2009,9,22,2009-09-22 8:51 AM,68.0,,
2009,9,22,2009-09-22 9:36 AM,69.8,,
2009,9,22,2009-09-22 9:51 AM,70.0,,
2009,9,22,2009-09-22 10:37 AM,71.6,,
2009,9,22,2009-09-22 10:51 AM,72.0,,
2009,9,22,2009-09-22 11:51 AM,71.1,,
2009,9,22,2009-09-22 12:51 PM,72.0,,
2009,9,22,2009-09-22 1:51 PM,72.0,,
2009,9,22,2009-09-22 2:51 PM,72.0,,
2009,9,22,2009-09-22 3:51 PM,72.0,,
2009,9,22,2009-09-22 4:51 PM,71.1,,
2009,9,22,2009-09-22 5:51 PM,70.0,,
2009,9,22,2009-09-22 6:51 PM,70.0,,
2009,9,22,2009-09-22 7:51 PM,69.1,,
2009,9,22,2009-09-22 8:51 PM,70.0,,
2009,9,22,2009-09-22 9:51 PM,69.1,,
2009,9,22,2009-09-22 10:51 PM,69.1,,
2009,9,22,2009-09-22 11:51 PM,70.0,,
