year,month,day,time,temperature,precipitation,windspeed
2011,4,2,2011-04-02 12:51 AM,42.1,,6.9
2011,4,2,2011-04-02 1:51 AM,42.1,,10.4
2011,4,2,2011-04-02 2:51 AM,39.9,,5.8
2011,4,2,2011-04-02 3:51 AM,41.0,,11.5
2011,4,2,2011-04-02 4:51 AM,39.9,,11.5
2011,4,2,2011-04-02 5:51 AM,39.0,,8.1
2011,4,2,2011-04-02 6:51 AM,37.9,,10.4
2011,4,2,2011-04-02 7:51 AM,39.0,,5.8
2011,4,2,2011-04-02 8:51 AM,41.0,,11.5
2011,4,2,2011-04-02 9:51 AM,45.0,,9.2
2011,4,2,2011-04-02 10:51 AM,48.0,,8.1
2011,4,2,2011-04-02 11:51 AM,50.0,,13.8
2011,4,2,2011-04-02 12:51 PM,51.1,,9.2
2011,4,2,2011-04-02 1:51 PM,53.1,,10.4
2011,4,2,2011-04-02 2:51 PM,54.0,,9.2
2011,4,2,2011-04-02 3:51 PM,54.0,,18.4
2011,4,2,2011-04-02 4:51 PM,54.0,,8.1
2011,4,2,2011-04-02 5:51 PM,54.0,,17.3
2011,4,2,2011-04-02 6:51 PM,52.0,,8.1
2011,4,2,2011-04-02 7:51 PM,51.1,,10.4
2011,4,2,2011-04-02 8:51 PM,50.0,,9.2
2011,4,2,2011-04-02 9:51 PM,48.9,,10.4
2011,4,2,2011-04-02 10:51 PM,48.0,,6.9
2011,4,2,2011-04-02 11:51 PM,46.9,,11.5
