year,month,day,time,temperature,precipitation,windspeed
2010,9,8,2010-09-08 12:51 AM,75.9,,8.1
2010,9,8,2010-09-08 1:51 AM,75.9,,5.8
2010,9,8,2010-09-08 2:51 AM,75.9,,9.2
2010,9,8,2010-09-08 3:51 AM,75.9,,11.5
2010,9,8,2010-09-08 4:51 AM,75.9,,10.4
2010,9,8,2010-09-08 5:51 AM,75.9,,4.6
2010,9,8,2010-09-08 6:51 AM,75.0,,6.9
2010,9,8,2010-09-08 7:51 AM,75.0,0.00,10.4
2010,9,8,2010-09-08 8:51 AM,75.9,,6.9
2010,9,8,2010-09-08 9:51 AM,79.0,,8.1
2010,9,8,2010-09-08 10:51 AM,82.9,,9.2
2010,9,8,2010-09-08 11:51 AM,84.9,,8.1
2010,9,8,2010-09-08 12:51 PM,87.1,,9.2
2010,9,8,2010-09-08 1:51 PM,89.1,,4.6
2010,9,8,2010-09-08 2:51 PM,89.1,,6.9
2010,9,8,2010-09-08 3:51 PM,88.0,,11.5
2010,9,8,2010-09-08 4:51 PM,86.0,,9.2
2010,9,8,2010-09-08 5:51 PM,82.9,,6.9
2010,9,8,2010-09-08 6:51 PM,77.0,,10.4
2010,9,8,2010-09-08 7:51 PM,73.0,,8.1
2010,9,8,2010-09-08 8:51 PM,69.1,,11.5
2010,9,8,2010-09-08 9:51 PM,68.0,,9.2
2010,9,8,2010-09-08 10:51 PM,66.9,,5.8
2010,9,8,2010-09-08 11:51 PM,66.9,,6.9
